/home/arise/Desktop/web_design/simulator.py:13: DeprecationWarning: Callback API version 1 is deprecated, update to latest version
  client = mqtt.Client()
🚀 Simulator running — publishing every 5s...

📡 [2026-04-18T02:59:47.015775] Published: {'temperature': 28.36, 'humidity': 58.07, 'co2': 454, 'ch4': 6, 'pressure': 1012, 'light': 850}
📡 [2026-04-18T04:11:47.830389] Published: {'temperature': 29.04, 'humidity': 72.31, 'co2': 423, 'ch4': 1, 'pressure': 1025, 'light': 147}
📡 [2026-04-18T04:11:52.831632] Published: {'temperature': 28.52, 'humidity': 53.78, 'co2': 953, 'ch4': 14, 'pressure': 1008, 'light': 166}
📡 [2026-04-18T04:11:57.832616] Published: {'temperature': 28.18, 'humidity': 61.84, 'co2': 779, 'ch4': 7, 'pressure': 1007, 'light': 459}
📡 [2026-04-18T04:12:02.833715] Published: {'temperature': 27.27, 'humidity': 66.18, 'co2': 478, 'ch4': 15, 'pressure': 995, 'light': 523}
📡 [2026-04-18T04:12:07.834366] Published: {'temperature': 25.4, 'humidity': 53.1, 'co2': 898, 'ch4': 4, 'pressure': 1005, 'light': 357}
📡 [2026-04-18T04:12:12.835294] Published: {'temperature': 28.23, 'humidity': 66.81, 'co2': 448, 'ch4': 15, 'pressure': 1010, 'light': 814}
📡 [2026-04-18T04:12:17.836068] Published: {'temperature': 24.37, 'humidity': 72.99, 'co2': 468, 'ch4': 3, 'pressure': 1009, 'light': 628}
📡 [2026-04-18T04:12:22.836841] Published: {'temperature': 24.18, 'humidity': 55.29, 'co2': 1083, 'ch4': 8, 'pressure': 1005, 'light': 882}
📡 [2026-04-18T04:12:27.837810] Published: {'temperature': 26.85, 'humidity': 51.33, 'co2': 489, 'ch4': 6, 'pressure': 994, 'light': 893}
📡 [2026-04-18T04:12:32.839083] Published: {'temperature': 28.62, 'humidity': 68.83, 'co2': 473, 'ch4': 1, 'pressure': 997, 'light': 836}
📡 [2026-04-18T04:12:37.840544] Published: {'temperature': 28.96, 'humidity': 65.48, 'co2': 439, 'ch4': 5, 'pressure': 1013, 'light': 843}
📡 [2026-04-18T04:12:42.841010] Published: {'temperature': 29.1, 'humidity': 77.85, 'co2': 621, 'ch4': 11, 'pressure': 998, 'light': 599}
📡 [2026-04-18T04:12:47.841620] Published: {'temperature': 24.12, 'humidity': 52.02, 'co2': 607, 'ch4': 10, 'pressure': 992, 'light': 513}
📡 [2026-04-18T04:12:52.842125] Published: {'temperature': 29.91, 'humidity': 76.79, 'co2': 1051, 'ch4': 13, 'pressure': 1017, 'light': 975}
📡 [2026-04-18T04:12:57.842871] Published: {'temperature': 28.76, 'humidity': 68.02, 'co2': 601, 'ch4': 8, 'pressure': 1004, 'light': 525}
📡 [2026-04-18T04:13:02.843886] Published: {'temperature': 28.57, 'humidity': 51.47, 'co2': 674, 'ch4': 3, 'pressure': 1023, 'light': 909}
📡 [2026-04-18T04:13:07.845003] Published: {'temperature': 25.46, 'humidity': 59.07, 'co2': 859, 'ch4': 15, 'pressure': 1007, 'light': 952}
📡 [2026-04-18T04:13:12.846008] Published: {'temperature': 26.17, 'humidity': 56.85, 'co2': 592, 'ch4': 3, 'pressure': 1013, 'light': 188}
📡 [2026-04-18T04:13:17.846737] Published: {'temperature': 24.26, 'humidity': 59.5, 'co2': 426, 'ch4': 9, 'pressure': 1018, 'light': 204}
📡 [2026-04-18T04:13:22.847335] Published: {'temperature': 27.82, 'humidity': 57.14, 'co2': 1091, 'ch4': 7, 'pressure': 1011, 'light': 511}
📡 [2026-04-18T04:13:27.848069] Published: {'temperature': 25.52, 'humidity': 55.57, 'co2': 380, 'ch4': 10, 'pressure': 991, 'light': 164}
📡 [2026-04-18T04:13:32.849305] Published: {'temperature': 26.04, 'humidity': 64.59, 'co2': 800, 'ch4': 2, 'pressure': 1001, 'light': 487}
📡 [2026-04-18T04:13:37.850027] Published: {'temperature': 26.11, 'humidity': 84.35, 'co2': 792, 'ch4': 12, 'pressure': 990, 'light': 617}
📡 [2026-04-18T04:13:42.851024] Published: {'temperature': 27.8, 'humidity': 75.11, 'co2': 955, 'ch4': 1, 'pressure': 1018, 'light': 168}
📡 [2026-04-18T04:13:47.851678] Published: {'temperature': 25.26, 'humidity': 57.05, 'co2': 559, 'ch4': 1, 'pressure': 1018, 'light': 237}
📡 [2026-04-18T04:13:52.852355] Published: {'temperature': 26.23, 'humidity': 67.48, 'co2': 564, 'ch4': 11, 'pressure': 1018, 'light': 962}
📡 [2026-04-18T04:13:57.853143] Published: {'temperature': 24.79, 'humidity': 55.7, 'co2': 979, 'ch4': 1, 'pressure': 993, 'light': 592}
📡 [2026-04-18T04:14:02.853838] Published: {'temperature': 26.55, 'humidity': 71.36, 'co2': 523, 'ch4': 10, 'pressure': 992, 'light': 453}
📡 [2026-04-18T04:14:07.854917] Published: {'temperature': 24.75, 'humidity': 67.4, 'co2': 1059, 'ch4': 8, 'pressure': 993, 'light': 838}
📡 [2026-04-18T04:14:12.855706] Published: {'temperature': 29.69, 'humidity': 84.25, 'co2': 985, 'ch4': 3, 'pressure': 1010, 'light': 680}
📡 [2026-04-18T04:14:17.856480] Published: {'temperature': 24.9, 'humidity': 51.98, 'co2': 832, 'ch4': 7, 'pressure': 1002, 'light': 338}
📡 [2026-04-18T04:14:22.857094] Published: {'temperature': 24.22, 'humidity': 53.02, 'co2': 1072, 'ch4': 12, 'pressure': 997, 'light': 705}
📡 [2026-04-18T04:14:27.857817] Published: {'temperature': 26.03, 'humidity': 68.35, 'co2': 984, 'ch4': 2, 'pressure': 1020, 'light': 785}
📡 [2026-04-18T04:14:32.858425] Published: {'temperature': 26.3, 'humidity': 69.24, 'co2': 1085, 'ch4': 3, 'pressure': 1011, 'light': 999}
📡 [2026-04-18T04:14:37.859394] Published: {'temperature': 27.9, 'humidity': 87.22, 'co2': 765, 'ch4': 1, 'pressure': 1014, 'light': 238}
📡 [2026-04-18T04:14:42.860118] Published: {'temperature': 24.2, 'humidity': 61.97, 'co2': 632, 'ch4': 9, 'pressure': 1003, 'light': 373}
📡 [2026-04-18T04:14:47.860873] Published: {'temperature': 25.57, 'humidity': 86.05, 'co2': 793, 'ch4': 3, 'pressure': 1024, 'light': 842}
📡 [2026-04-18T04:14:52.861429] Published: {'temperature': 29.84, 'humidity': 59.64, 'co2': 530, 'ch4': 2, 'pressure': 990, 'light': 463}
📡 [2026-04-18T04:14:57.862096] Published: {'temperature': 29.8, 'humidity': 76.18, 'co2': 624, 'ch4': 12, 'pressure': 1025, 'light': 695}
📡 [2026-04-18T04:15:02.862811] Published: {'temperature': 24.25, 'humidity': 87.74, 'co2': 415, 'ch4': 13, 'pressure': 1009, 'light': 339}
📡 [2026-04-18T04:15:07.864121] Published: {'temperature': 27.86, 'humidity': 88.77, 'co2': 391, 'ch4': 5, 'pressure': 998, 'light': 951}
📡 [2026-04-18T04:15:12.865161] Published: {'temperature': 27.44, 'humidity': 78.36, 'co2': 768, 'ch4': 5, 'pressure': 1021, 'light': 636}
📡 [2026-04-18T04:15:17.866084] Published: {'temperature': 25.49, 'humidity': 56.29, 'co2': 578, 'ch4': 4, 'pressure': 1000, 'light': 524}
📡 [2026-04-18T04:15:22.866837] Published: {'temperature': 28.46, 'humidity': 82.7, 'co2': 631, 'ch4': 4, 'pressure': 992, 'light': 536}
📡 [2026-04-18T04:15:27.867490] Published: {'temperature': 24.89, 'humidity': 58.19, 'co2': 424, 'ch4': 3, 'pressure': 995, 'light': 514}
📡 [2026-04-18T04:15:32.868205] Published: {'temperature': 25.53, 'humidity': 74.45, 'co2': 469, 'ch4': 11, 'pressure': 1017, 'light': 959}
📡 [2026-04-18T04:15:37.869209] Published: {'temperature': 24.02, 'humidity': 85.45, 'co2': 644, 'ch4': 14, 'pressure': 1003, 'light': 541}
📡 [2026-04-18T04:15:42.869554] Published: {'temperature': 27.71, 'humidity': 81.55, 'co2': 534, 'ch4': 10, 'pressure': 1003, 'light': 986}
📡 [2026-04-18T04:15:47.869900] Published: {'temperature': 29.42, 'humidity': 79.77, 'co2': 880, 'ch4': 9, 'pressure': 992, 'light': 758}
📡 [2026-04-18T04:15:52.870593] Published: {'temperature': 28.49, 'humidity': 60.74, 'co2': 815, 'ch4': 12, 'pressure': 1003, 'light': 882}
📡 [2026-04-18T04:15:57.871753] Published: {'temperature': 28.27, 'humidity': 61.24, 'co2': 946, 'ch4': 1, 'pressure': 991, 'light': 265}
📡 [2026-04-18T04:16:02.872083] Published: {'temperature': 29.26, 'humidity': 64.16, 'co2': 625, 'ch4': 5, 'pressure': 1024, 'light': 529}
📡 [2026-04-18T04:16:07.872529] Published: {'temperature': 28.48, 'humidity': 54.28, 'co2': 976, 'ch4': 1, 'pressure': 1016, 'light': 924}
📡 [2026-04-18T04:16:12.873436] Published: {'temperature': 24.65, 'humidity': 89.64, 'co2': 690, 'ch4': 10, 'pressure': 998, 'light': 732}
📡 [2026-04-18T04:16:17.874125] Published: {'temperature': 29.67, 'humidity': 70.38, 'co2': 695, 'ch4': 8, 'pressure': 997, 'light': 638}
📡 [2026-04-18T04:16:22.874883] Published: {'temperature': 27.26, 'humidity': 63.1, 'co2': 360, 'ch4': 13, 'pressure': 999, 'light': 999}
📡 [2026-04-18T04:16:27.875854] Published: {'temperature': 25.16, 'humidity': 59.13, 'co2': 937, 'ch4': 2, 'pressure': 1023, 'light': 880}
📡 [2026-04-18T04:16:32.876220] Published: {'temperature': 25.7, 'humidity': 81.28, 'co2': 744, 'ch4': 10, 'pressure': 1010, 'light': 364}
📡 [2026-04-18T04:16:37.877390] Published: {'temperature': 27.5, 'humidity': 77.15, 'co2': 390, 'ch4': 9, 'pressure': 1014, 'light': 103}
📡 [2026-04-18T04:16:42.877837] Published: {'temperature': 25.88, 'humidity': 80.2, 'co2': 846, 'ch4': 10, 'pressure': 1023, 'light': 769}
📡 [2026-04-18T04:16:47.878519] Published: {'temperature': 26.21, 'humidity': 53.36, 'co2': 975, 'ch4': 1, 'pressure': 995, 'light': 258}
📡 [2026-04-18T04:16:52.879643] Published: {'temperature': 24.7, 'humidity': 50.73, 'co2': 602, 'ch4': 2, 'pressure': 1014, 'light': 507}
📡 [2026-04-18T04:16:57.880219] Published: {'temperature': 26.78, 'humidity': 69.02, 'co2': 873, 'ch4': 12, 'pressure': 1015, 'light': 601}
📡 [2026-04-18T04:17:02.880844] Published: {'temperature': 29.94, 'humidity': 61.23, 'co2': 638, 'ch4': 3, 'pressure': 1009, 'light': 575}
📡 [2026-04-18T04:17:07.881608] Published: {'temperature': 24.94, 'humidity': 85.18, 'co2': 974, 'ch4': 5, 'pressure': 999, 'light': 628}
📡 [2026-04-18T04:17:12.882078] Published: {'temperature': 25.4, 'humidity': 81.79, 'co2': 1072, 'ch4': 4, 'pressure': 1010, 'light': 211}
📡 [2026-04-18T04:17:17.882748] Published: {'temperature': 25.96, 'humidity': 70.96, 'co2': 545, 'ch4': 13, 'pressure': 997, 'light': 220}
📡 [2026-04-18T04:17:22.884210] Published: {'temperature': 26.34, 'humidity': 67.54, 'co2': 492, 'ch4': 9, 'pressure': 1021, 'light': 182}
📡 [2026-04-18T04:17:27.884779] Published: {'temperature': 25.84, 'humidity': 84.77, 'co2': 947, 'ch4': 8, 'pressure': 998, 'light': 278}
📡 [2026-04-18T04:17:32.885132] Published: {'temperature': 24.29, 'humidity': 87.62, 'co2': 373, 'ch4': 9, 'pressure': 1008, 'light': 427}
📡 [2026-04-18T04:17:37.885804] Published: {'temperature': 29.64, 'humidity': 88.82, 'co2': 585, 'ch4': 5, 'pressure': 1024, 'light': 419}
📡 [2026-04-18T04:17:42.886331] Published: {'temperature': 24.85, 'humidity': 73.5, 'co2': 814, 'ch4': 4, 'pressure': 1025, 'light': 498}
📡 [2026-04-18T04:17:47.888148] Published: {'temperature': 27.7, 'humidity': 75.27, 'co2': 440, 'ch4': 11, 'pressure': 1020, 'light': 265}
📡 [2026-04-18T04:17:52.889060] Published: {'temperature': 27.31, 'humidity': 59.15, 'co2': 928, 'ch4': 5, 'pressure': 1012, 'light': 990}
📡 [2026-04-18T04:17:57.890027] Published: {'temperature': 24.72, 'humidity': 60.71, 'co2': 548, 'ch4': 8, 'pressure': 990, 'light': 202}
📡 [2026-04-18T04:18:02.890867] Published: {'temperature': 29.73, 'humidity': 69.03, 'co2': 409, 'ch4': 15, 'pressure': 991, 'light': 164}
📡 [2026-04-18T04:18:07.892192] Published: {'temperature': 28.15, 'humidity': 55.28, 'co2': 483, 'ch4': 12, 'pressure': 1017, 'light': 365}
